A=9127 B=5672 C=5758 X=641031208 Y=3761308377 Z=75577790180 M=2973
A=7263 B=7366 C=9516 X=964484366 Y=2813741372 Z=39727803684 M=2551
A=7976 B=9668 C=5191 X=493259432 Y=9680053087 Z=88945448545 M=5513
A=2184 B=9488 C=9791 X=621282608 Y=5308374478 Z=47078654136 M=4263
A=8398 B=6567 C=6554 X=970434424 Y=3405964529 Z=49905438283 M=9633
A=2717 B=4599 C=8321 X=537551751 Y=9074901546 Z=62582035482 M=7361
A=3146 B=4641 C=9453 X=472769136 Y=2649600465 Z=95111315174 M=7207
A=5368 B=4877 C=6422 X=729983583 Y=4977499642 Z=94514189632 M=1216
A=3452 B=8532 C=9151 X=693069451 Y=6824392517 Z=95215027513 M=8087
A=9631 B=7529 C=8119 X=469606780 Y=6352513813 Z=23621288335 M=9806
A=4221 B=9195 C=9758 X=130905129 Y=9796964359 Z=61357547879 M=3564
A=4779 B=4685 C=9634 X=258064755 Y=5954533090 Z=15772240841 M=7631
A=5766 B=9018 C=9537 X=887618090 Y=2364666265 Z=44804563339 M=7126
A=7362 B=5088 C=7565 X=799380424 Y=6431434778 Z=74321714210 M=3243
A=3807 B=5010 C=9363 X=925705473 Y=5461151154 Z=96509837240 M=9625
A=4972 B=5188 C=7377 X=333057613 Y=3642752201 Z=92771698850 M=1559
A=9873 B=7612 C=8991 X=715171037 Y=4050647821 Z=94883175194 M=4343
A=7267 B=7104 C=5741 X=728119082 Y=4762074746 Z=90339870925 M=6152
A=9000 B=5385 C=5627 X=580196623 Y=8177920591 Z=84175944250 M=9946
A=9484 B=3681 C=7758 X=539657387 Y=1972808441 Z=81190884751 M=3286
A=5075 B=3175 C=7442 X=367865760 Y=7462641729 Z=31740022030 M=2599
A=9794 B=6661 C=7418 X=221861363 Y=2132645871 Z=19815240012 M=2707
A=2508 B=6327 C=9437 X=626735511 Y=6522977539 Z=98634118084 M=7120
A=9759 B=9484 C=5907 X=414028520 Y=2893190766 Z=91371636715 M=5508
A=6289 B=3476 C=7693 X=461113060 Y=6924038418 Z=67425065604 M=9200
A=4603 B=6470 C=7010 X=575907320 Y=4613763422 Z=84597999126 M=3780
A=6897 B=5296 C=8191 X=324409864 Y=9437634925 Z=38637386767 M=6694
A=9223 B=9671 C=5539 X=576310462 Y=5442847776 Z=48214106174 M=5898
A=7141 B=3306 C=6922 X=138257531 Y=1399573257 Z=23048418873 M=8814
A=3198 B=9231 C=8349 X=631277135 Y=3282460618 Z=35757964604 M=1954
A=2392 B=3569 C=8958 X=877174449 Y=4856331330 Z=19048030811 M=9777
A=8336 B=3603 C=7307 X=965891208 Y=9628619115 Z=88905597640 M=1664
A=8580 B=8837 C=5050 X=808553170 Y=8195439074 Z=85650466097 M=3936
A=5747 B=8074 C=7623 X=915557655 Y=4083329376 Z=98871156937 M=1506
A=6131 B=6514 C=7372 X=604608742 Y=6761693663 Z=92412858908 M=5573
A=6957 B=7076 C=8377 X=226377450 Y=3502208165 Z=30615036093 M=4645
A=2458 B=9748 C=7526 X=316479337 Y=9900236793 Z=80880251336 M=5318
A=7643 B=8879 C=6255 X=330238643 Y=8011731537 Z=37477076564 M=3626
A=9289 B=9324 C=9552 X=906502293 Y=9515414845 Z=38828920112 M=7250
A=4043 B=8299 C=7118 X=482411715 Y=9683346377 Z=54455527182 M=2702
A=4027 B=4901 C=5490 X=984007925 Y=5687712026 Z=17541030201 M=1931
A=6604 B=8823 C=7303 X=246668303 Y=9928444830 Z=45415214779 M=4255
A=3492 B=4672 C=6796 X=610035401 Y=9823178905 Z=93375026984 M=4821
A=9803 B=3272 C=6779 X=474821649 Y=6319018142 Z=99727085995 M=9559
A=8772 B=5095 C=7469 X=399994371 Y=9100974331 Z=57958173838 M=4342
A=3650 B=5532 C=5212 X=158376859 Y=5757620394 Z=84093214740 M=7013
A=7812 B=7294 C=8824 X=474016952 Y=3748457284 Z=48993142231 M=9846
A=4790 B=6825 C=8872 X=370987593 Y=7164587224 Z=26047052929 M=8628
A=2753 B=5282 C=6667 X=809082322 Y=5025158594 Z=39546021191 M=4967
A=2055 B=6814 C=7501 X=546913801 Y=3596461788 Z=32708036671 M=4858
A=9262 B=5799 C=6318 X=576778523 Y=6261725533 Z=49557316553 M=5951
A=9854 B=7110 C=9830 X=245288598 Y=4979789185 Z=90295337605 M=1095
A=2376 B=3277 C=7172 X=586299383 Y=3963163119 Z=87353811636 M=9185
A=6235 B=9988 C=6276 X=157108672 Y=3191115003 Z=94951516405 M=3217
A=9473 B=5306 C=8016 X=688160042 Y=2548834603 Z=93389340206 M=9064
A=4996 B=5870 C=6532 X=891836696 Y=9116184715 Z=88734289343 M=3907
A=5478 B=9295 C=6988 X=380290296 Y=3720754850 Z=99402183449 M=2110
A=8455 B=6420 C=6529 X=587206991 Y=7340094225 Z=93637305502 M=4305
A=6763 B=5696 C=7428 X=146858747 Y=7056416028 Z=47891817465 M=8353
A=5643 B=3234 C=7339 X=182102849 Y=6871223328 Z=66079819269 M=1088
A=2596 B=7332 C=5662 X=518492054 Y=1418544683 Z=85530031898 M=2773
A=9532 B=7688 C=6055 X=106058003 Y=8660750093 Z=57199959145 M=8038
A=4241 B=8108 C=7994 X=289034019 Y=6964713824 Z=85306814326 M=1923
A=9470 B=5431 C=7366 X=961649032 Y=5138035405 Z=19896650511 M=6765
A=3565 B=9101 C=5262 X=225380545 Y=4068068372 Z=24452376408 M=9510
A=5594 B=6634 C=8484 X=114753824 Y=9780535065 Z=45965405892 M=5216
A=3575 B=8371 C=6767 X=908414661 Y=7696037463 Z=22127361919 M=7249
A=4059 B=3323 C=9821 X=586402792 Y=6816958481 Z=35674812290 M=2713
A=2859 B=6635 C=7558 X=190336936 Y=1988731394 Z=55807412129 M=8109
A=4418 B=4228 C=8055 X=904935001 Y=7773256056 Z=87436948285 M=5522
A=9147 B=3567 C=8296 X=136712415 Y=8489761025 Z=53489055323 M=2425
A=5835 B=4362 C=9853 X=445382986 Y=7862226828 Z=17971942690 M=4493
A=8509 B=9374 C=9338 X=382772940 Y=9193173841 Z=28636423514 M=4511
A=7371 B=8120 C=5797 X=415359521 Y=2775554258 Z=66580015407 M=4336
A=2985 B=5803 C=7617 X=248080443 Y=8241042786 Z=93224381502 M=6686
A=5666 B=3183 C=7822 X=242684633 Y=9851071530 Z=93325875004 M=8637
A=4636 B=7941 C=7340 X=702381509 Y=2385342749 Z=46578949843 M=5761
A=7868 B=7254 C=6846 X=570401037 Y=2671876773 Z=33743538539 M=4496
A=2221 B=9505 C=5003 X=333315741 Y=2635809989 Z=24707040788 M=8546
A=8767 B=7999 C=5895 X=513842749 Y=9320824717 Z=30528210783 M=2321
A=3087 B=3816 C=5450 X=245612857 Y=1364391954 Z=43160828125 M=4368
A=7941 B=3352 C=7317 X=450233061 Y=9774002503 Z=22270144000 M=8120
A=2924 B=9389 C=9072 X=160421660 Y=3486387018 Z=28905112692 M=9135
A=8926 B=6699 C=5184 X=856476044 Y=2390636491 Z=78652497171 M=3846
A=7896 B=6204 C=8263 X=235083221 Y=2035544702 Z=89747616557 M=3490
A=6910 B=3883 C=6230 X=245208300 Y=8869505342 Z=28247637641 M=7653
A=4528 B=5840 C=9619 X=364852106 Y=1396648019 Z=94192633729 M=1319
A=4594 B=6230 C=6083 X=268913600 Y=2200362023 Z=73877880909 M=2160
A=2338 B=6205 C=6739 X=953402065 Y=2318215061 Z=15928151618 M=4657
A=6731 B=7311 C=7789 X=103302370 Y=6408556672 Z=37461101763 M=6361
A=2385 B=9702 C=6023 X=164403130 Y=5119093434 Z=26276112976 M=3193
A=7638 B=9810 C=6679 X=238657531 Y=9997655647 Z=68207690750 M=4442
A=6635 B=3633 C=5536 X=345436874 Y=7823470227 Z=31993120415 M=6010
A=3144 B=8814 C=7647 X=530033865 Y=8728510615 Z=23746326026 M=5146
A=8078 B=8412 C=7283 X=152812891 Y=6004132293 Z=75922842628 M=7805
A=9057 B=5769 C=9997 X=262951814 Y=9132875636 Z=96075154817 M=8060
A=2114 B=9592 C=5644 X=230366550 Y=8368331369 Z=43318355424 M=7161
A=5162 B=8090 C=5796 X=431146622 Y=2349234744 Z=76038402885 M=3560
A=2739 B=3818 C=5377 X=157381940 Y=2267321067 Z=16181205874 M=8111
A=8042 B=7472 C=9384 X=711596520 Y=6583767431 Z=77979912701 M=5558
A=4037 B=5773 C=6096 X=642329608 Y=6775192340 Z=61131756186 M=1188
A=3811 B=7082 C=6543 X=886642979 Y=9771341921 Z=29777234628 M=1898
A=8301 B=6090 C=8081 X=302517623 Y=3488179035 Z=73249410383 M=6054
A=9666 B=7087 C=8040 X=345631804 Y=4963795091 Z=62304615278 M=5009
A=7896 B=7285 C=6651 X=184919835 Y=2695403589 Z=79279712242 M=1471
A=2153 B=5449 C=6053 X=109857480 Y=7507117240 Z=53361149764 M=1843
A=7407 B=8270 C=5235 X=437379042 Y=4167871349 Z=71492568909 M=9452
A=2307 B=7643 C=8958 X=563085740 Y=3649961966 Z=90127198221 M=3555
A=6735 B=5210 C=6394 X=230026775 Y=3745581540 Z=86981391883 M=6011
A=3064 B=4059 C=9515 X=887763537 Y=3905216095 Z=26595611684 M=6568
A=9346 B=8787 C=6796 X=838963442 Y=5719614658 Z=15325282659 M=9596
A=2902 B=8938 C=6199 X=532274234 Y=7556811191 Z=18442420600 M=7016
A=3591 B=5418 C=5212 X=917334966 Y=8267050970 Z=25019380928 M=4828
A=7414 B=6316 C=8860 X=481939240 Y=5482002290 Z=87065728712 M=5673
A=3195 B=7057 C=5402 X=188636107 Y=4477816420 Z=19274516320 M=7630
A=3820 B=5965 C=6387 X=785558371 Y=5640296994 Z=70605032595 M=4597
A=9965 B=9783 C=8634 X=175389506 Y=9646224963 Z=54487835522 M=7130
A=5307 B=3139 C=7821 X=264300443 Y=2269132258 Z=52316975015 M=3180
A=3963 B=7599 C=7265 X=837092055 Y=1118152425 Z=45641929581 M=9947
A=9937 B=7215 C=8244 X=356445001 Y=1226317998 Z=83474857667 M=8214
A=4840 B=8073 C=5972 X=411703507 Y=8256366497 Z=55870851091 M=3658
A=6824 B=6317 C=9243 X=748481519 Y=8182488209 Z=50941667450 M=9951
A=2806 B=5299 C=6580 X=363803648 Y=7727472922 Z=94822951555 M=5753
A=7279 B=4958 C=7679 X=500869892 Y=5025301460 Z=44732749277 M=1789
A=7796 B=7236 C=7028 X=595227267 Y=2674887352 Z=78080881790 M=3076
A=3397 B=3526 C=8254 X=853840344 Y=9982574211 Z=76501903570 M=9304
A=2624 B=9533 C=8731 X=547598635 Y=6309375638 Z=37538051758 M=1195
A=2479 B=6748 C=5884 X=115578026 Y=8002174895 Z=97756583902 M=5796
A=4617 B=9255 C=8273 X=666535410 Y=8428046705 Z=48386384237 M=7770
A=2362 B=4271 C=7116 X=167279270 Y=8981802609 Z=19359128010 M=7893
A=2947 B=5184 C=5596 X=108657125 Y=7763338288 Z=67615915854 M=8049
A=4745 B=7007 C=7258 X=761755818 Y=8724854463 Z=19549607130 M=1493
A=3442 B=7918 C=5984 X=777969194 Y=3545295636 Z=75915901771 M=1010
A=9943 B=4684 C=8700 X=113172470 Y=7519552560 Z=16920950644 M=1847
A=6256 B=9949 C=6853 X=828386566 Y=3943665911 Z=73694173814 M=6151
A=5234 B=9168 C=8710 X=729018058 Y=1162139353 Z=76187202740 M=6062
A=3482 B=4758 C=5668 X=968606238 Y=9770840277 Z=57220311191 M=5672
A=2487 B=9887 C=7342 X=618739074 Y=9197406057 Z=76554106300 M=3320
A=2052 B=4809 C=8043 X=428269832 Y=8088761915 Z=13256809531 M=9600
A=7317 B=7627 C=5681 X=907094332 Y=3923438429 Z=52991170025 M=3979
A=9622 B=6525 C=5540 X=840963572 Y=9882033323 Z=18746650179 M=2879
A=7976 B=7493 C=9752 X=708430054 Y=5425981747 Z=80934060204 M=8658
A=7775 B=5461 C=6976 X=786546475 Y=7394477493 Z=25823546287 M=7174
A=2860 B=4604 C=5975 X=443919540 Y=7850768213 Z=97551908885 M=9012
A=8265 B=7207 C=8392 X=932780904 Y=8473649924 Z=81553017979 M=5030
A=4819 B=4474 C=6497 X=357239514 Y=3866896524 Z=59777940014 M=4232
A=7628 B=5823 C=8430 X=358032218 Y=2245754829 Z=99127696327 M=3502
A=5877 B=7136 C=8387 X=745117696 Y=4764718256 Z=98624639745 M=5744
A=9543 B=4588 C=8285 X=149097876 Y=9892980542 Z=18570583220 M=1885
A=8515 B=7463 C=7337 X=263626386 Y=3063539707 Z=52315439593 M=7768
A=6444 B=3120 C=5338 X=750930977 Y=6112205950 Z=66506578638 M=7883
A=4982 B=9075 C=9760 X=349320071 Y=2308957171 Z=36609198484 M=5951
A=4869 B=6536 C=9355 X=359397864 Y=5737862873 Z=11966905057 M=4182
A=5852 B=7900 C=7988 X=132213584 Y=7412453050 Z=96000169332 M=3280
A=3981 B=8792 C=7923 X=839624566 Y=1356628749 Z=75966151561 M=6480
A=4416 B=8724 C=5724 X=491981955 Y=3882201520 Z=20553441594 M=9627
A=8632 B=7671 C=7893 X=629810753 Y=6362818345 Z=33267678450 M=1743
A=7150 B=7071 C=5196 X=436280686 Y=6071994466 Z=98860859542 M=4220
A=3812 B=7199 C=7925 X=109506533 Y=5539218384 Z=17850491290 M=5231
A=5815 B=6461 C=8172 X=239965661 Y=4046218734 Z=90159546043 M=6963
A=2787 B=7488 C=7157 X=634566884 Y=7353478369 Z=84033841390 M=7013
A=6570 B=8726 C=5566 X=802445063 Y=8229889930 Z=89815223048 M=4131
A=5549 B=5008 C=6534 X=135134139 Y=2967090678 Z=24358291312 M=2088
A=6922 B=8192 C=9340 X=838735149 Y=2798480578 Z=66228923915 M=8507
A=7366 B=9760 C=6125 X=287878868 Y=7703353290 Z=44324084069 M=6457
A=5565 B=6487 C=8284 X=829161240 Y=6957388860 Z=54955156315 M=2590
A=7476 B=4318 C=6894 X=328217267 Y=5535501800 Z=42444025244 M=9446
A=8081 B=6807 C=7536 X=101675271 Y=4095002849 Z=86696212716 M=7541
A=7663 B=6403 C=8550 X=754433150 Y=5732076970 Z=75233828157 M=4021
A=2158 B=6507 C=8158 X=817631420 Y=2323771926 Z=34102642822 M=1997
A=5166 B=9112 C=6647 X=137364315 Y=6569969496 Z=69281596705 M=4640
A=2163 B=4235 C=9770 X=781074852 Y=9064223608 Z=46728232131 M=2037
A=7053 B=6971 C=6061 X=544534304 Y=3654756673 Z=49109143811 M=2097
A=2546 B=5650 C=5452 X=591786289 Y=2596343456 Z=35496540225 M=7994
A=7461 B=9394 C=5379 X=664478132 Y=7995454007 Z=18508926239 M=7122
A=5240 B=3765 C=6183 X=822314376 Y=1642091712 Z=47801348017 M=9446
A=3558 B=6298 C=8362 X=141612402 Y=4021501343 Z=51683503545 M=9268
A=8744 B=5991 C=7079 X=638057973 Y=4620105632 Z=78668905745 M=9651
A=2588 B=4771 C=9474 X=585498111 Y=3375398584 Z=23298990682 M=8348
A=5759 B=7001 C=6241 X=835178023 Y=7432946412 Z=42533717475 M=8425
A=2462 B=4449 C=7410 X=493326815 Y=2914662882 Z=87107224137 M=2965
A=3430 B=8206 C=7698 X=632262919 Y=9688164579 Z=61447667360 M=9189
A=2630 B=7327 C=6566 X=655975717 Y=1064335950 Z=27332023375 M=8884
A=6601 B=3985 C=9388 X=320647710 Y=6802930640 Z=20984157887 M=8883
A=8239 B=8554 C=8783 X=549623658 Y=5583219990 Z=96721851953 M=8819
A=8704 B=7155 C=7049 X=593230894 Y=1893569716 Z=10048469497 M=4549
A=2712 B=4196 C=6711 X=173238213 Y=7745142198 Z=31768715897 M=5961
A=5515 B=3465 C=7263 X=986373346 Y=4498083973 Z=35811923949 M=5481
A=7425 B=9326 C=5971 X=686888367 Y=7942376248 Z=56860456548 M=6911
A=9402 B=9338 C=7659 X=830147904 Y=5573553872 Z=60682173717 M=3393
A=8611 B=4393 C=7084 X=109948840 Y=4330983994 Z=84706157049 M=7348
A=8855 B=3923 C=5235 X=560319884 Y=3603012369 Z=99167525391 M=6869
A=6731 B=4912 C=7650 X=450956201 Y=7041375106 Z=37457243620 M=8632
A=8674 B=9095 C=7118 X=297645118 Y=9094271678 Z=75863247156 M=6071
A=6443 B=7745 C=6693 X=621496744 Y=4128917324 Z=89031330305 M=1853
A=7395 B=6394 C=5516 X=654164466 Y=2962727050 Z=78432085978 M=8429
A=3915 B=8930 C=9855 X=829812911 Y=9142014161 Z=80938940274 M=9168
A=3742 B=8240 C=5565 X=492744838 Y=6202184066 Z=31446335037 M=3312
A=5344 B=3272 C=8221 X=127103897 Y=3569945598 Z=40689879714 M=4280
A=3346 B=7775 C=9087 X=898193023 Y=2236286729 Z=76404961031 M=8490
A=8701 B=6336 C=8386 X=436096468 Y=6034314636 Z=13991911833 M=9051
A=5023 B=3708 C=5043 X=725189452 Y=6264180173 Z=75982217634 M=4183
A=5293 B=4536 C=5031 X=615367308 Y=9706082617 Z=90554268713 M=9133
A=5371 B=6690 C=6335 X=491616985 Y=8383558204 Z=69348290971 M=5216
A=8611 B=3008 C=7620 X=404742604 Y=8910599450 Z=68760581817 M=4730
A=8194 B=4036 C=9124 X=554465035 Y=1918612775 Z=24194717734 M=4168
A=9291 B=5754 C=5479 X=724933824 Y=9494801780 Z=67424067970 M=6644
A=5691 B=4032 C=9715 X=807071277 Y=1442972448 Z=25460249538 M=7178
A=5974 B=8212 C=9598 X=389369783 Y=9282363517 Z=37292211360 M=8629
A=7025 B=8906 C=5534 X=904105552 Y=8088346702 Z=89816271307 M=8599
A=4495 B=3982 C=6534 X=417905801 Y=9759810907 Z=45425793024 M=3714
A=5670 B=8881 C=7168 X=920930681 Y=3356787551 Z=68564412121 M=6918
A=4366 B=6424 C=9054 X=979756908 Y=5820933640 Z=26209605028 M=6803
A=7094 B=6505 C=6579 X=258138309 Y=8821304238 Z=47338732447 M=2015
A=7922 B=8095 C=7081 X=402440044 Y=5262653315 Z=26541400322 M=8725
A=6570 B=4063 C=6617 X=212871421 Y=3597440066 Z=13770625491 M=6259
A=5283 B=9850 C=6115 X=961906481 Y=5851860665 Z=95171121832 M=6770
A=6084 B=7285 C=7314 X=104963755 Y=6834780166 Z=97415555704 M=6595
A=6515 B=7850 C=6769 X=807423114 Y=7665958773 Z=93973366719 M=7838
A=5313 B=8615 C=5653 X=951318960 Y=7689178404 Z=13565110583 M=3424
A=3317 B=6824 C=7250 X=596101124 Y=7864784956 Z=79359401444 M=1135
A=6239 B=7452 C=6329 X=221674163 Y=7563509309 Z=69290471702 M=4846
A=5512 B=6401 C=5100 X=953951966 Y=3648152184 Z=45580989660 M=8198
A=9659 B=3653 C=5385 X=134276457 Y=5812898951 Z=20184792241 M=1286
A=7666 B=4362 C=8656 X=968005129 Y=8251095917 Z=21540925879 M=5126
A=5202 B=5934 C=8842 X=255262921 Y=5537094472 Z=66769389274 M=6095
A=6910 B=6970 C=6875 X=444313115 Y=7661538995 Z=64469064521 M=8925
A=5048 B=5701 C=7685 X=425639639 Y=6435309571 Z=75060702768 M=1354
A=5593 B=6370 C=9665 X=361207530 Y=5779697747 Z=25859625290 M=6817
A=5669 B=6621 C=6568 X=384079795 Y=5891775099 Z=11310971956 M=2143
A=2821 B=3226 C=7356 X=366260854 Y=7783227293 Z=60063386365 M=5587
A=3907 B=3543 C=7275 X=250943599 Y=2365966765 Z=29473980692 M=1623
A=2018 B=8091 C=6559 X=624392653 Y=8710918984 Z=73278656496 M=2351
A=7682 B=8088 C=9966 X=140599322 Y=3648428662 Z=38783775486 M=3429
A=2900 B=9048 C=9940 X=132149011 Y=8921603002 Z=31678199758 M=8636
A=5997 B=4384 C=6850 X=385787569 Y=3442604785 Z=15675616640 M=5736
A=2630 B=4317 C=5279 X=510047471 Y=3585950247 Z=69027539682 M=1333
A=5583 B=6825 C=9567 X=536564067 Y=8776875689 Z=71093402101 M=6114
A=7359 B=5942 C=5790 X=878311612 Y=6217126233 Z=27382037028 M=8300
A=2848 B=9296 C=9561 X=328535084 Y=2874396605 Z=70479444546 M=2166
A=7659 B=5828 C=8785 X=242535366 Y=9942168537 Z=83881124131 M=5072
A=3547 B=3536 C=5085 X=649420409 Y=3629917408 Z=80901761226 M=7532
A=8594 B=3320 C=7393 X=899116667 Y=6040210148 Z=84318480054 M=2402
A=2869 B=6925 C=8358 X=196367382 Y=2894293286 Z=35514658791 M=7426
A=3289 B=9034 C=9603 X=251436902 Y=8736936516 Z=95413336404 M=2163
A=8075 B=6910 C=6539 X=945975640 Y=9665068233 Z=27016923502 M=7871
A=5053 B=9396 C=8343 X=555993077 Y=2565252482 Z=57558065725 M=6886
A=7946 B=6994 C=9307 X=617963443 Y=5757789151 Z=76351215829 M=3582
A=2803 B=3143 C=7524 X=743443327 Y=1026761333 Z=54910461206 M=8863
A=6815 B=4458 C=6104 X=274091511 Y=8968437811 Z=84639843424 M=2121
A=8948 B=8407 C=8713 X=305318510 Y=4239441337 Z=64143151518 M=9486
A=9507 B=6265 C=9588 X=896783151 Y=5451751642 Z=52806734793 M=4051
A=6961 B=5037 C=8000 X=997311511 Y=1117982884 Z=72763228110 M=5140
A=5946 B=7327 C=8221 X=438298833 Y=5480076263 Z=79616532682 M=2014
A=4207 B=4527 C=5948 X=704239276 Y=2204648000 Z=46822568911 M=3128
A=6827 B=9257 C=9870 X=153924070 Y=1927783060 Z=30523118777 M=4067
A=3651 B=6177 C=8692 X=867074542 Y=8620705889 Z=26858141740 M=8769
A=2000 B=7547 C=6249 X=241425450 Y=5512448248 Z=72781372116 M=4018
A=3838 B=3622 C=9026 X=469754844 Y=2860116976 Z=14889290710 M=7244
A=5069 B=8991 C=7077 X=989106298 Y=5885101969 Z=59567114280 M=1438
A=8559 B=6639 C=5163 X=771192878 Y=8007084860 Z=56328081721 M=3885
A=7443 B=4586 C=8499 X=418920913 Y=1214530714 Z=14626121060 M=7278
A=2878 B=7998 C=9644 X=229208085 Y=1983531722 Z=95874255293 M=8963
A=9479 B=9495 C=6669 X=250810929 Y=4079142898 Z=37261775409 M=8042
A=7113 B=4566 C=5476 X=654513785 Y=9278820660 Z=43761699759 M=2328
A=7964 B=6451 C=6244 X=588406131 Y=3868976188 Z=26766497314 M=3876
A=4653 B=4933 C=9898 X=552755879 Y=7352681023 Z=59312627000 M=6786
A=7390 B=9573 C=6516 X=881659337 Y=9598173604 Z=66042122736 M=6194
A=9051 B=7980 C=6303 X=590791945 Y=6618256884 Z=17067757150 M=4463
A=5287 B=8862 C=6364 X=153653180 Y=3458730765 Z=67816743581 M=1655
A=3493 B=8123 C=6629 X=342507717 Y=4173530009 Z=12999547410 M=7578
A=6326 B=3577 C=6569 X=308980364 Y=7928486839 Z=28276109891 M=8780
A=9168 B=9636 C=5982 X=299300641 Y=8922462220 Z=30569129804 M=3860
A=9575 B=3461 C=7352 X=971092333 Y=4123559711 Z=34350989006 M=7789
A=5047 B=9894 C=8051 X=352403391 Y=1721156726 Z=48943903571 M=9373
A=3098 B=8366 C=9431 X=803922761 Y=3130104667 Z=63594829219 M=3953
A=5159 B=8813 C=8361 X=462345154 Y=8338679346 Z=53701575126 M=8055
A=4403 B=9884 C=8171 X=130388813 Y=9219309834 Z=40510950697 M=5562
A=7525 B=7541 C=9383 X=538791966 Y=4551074344 Z=25760291820 M=6043
A=5942 B=7168 C=5967 X=346603641 Y=9205854993 Z=23877026171 M=4776
A=6269 B=6932 C=9474 X=209027627 Y=3217480625 Z=72870525983 M=6181
A=9053 B=3623 C=9364 X=629648140 Y=7956835486 Z=59426871282 M=2980
A=7834 B=3060 C=8276 X=799193786 Y=4607628962 Z=96729009933 M=5465
A=9418 B=4204 C=5747 X=304002590 Y=8602187466 Z=82357881472 M=4547
A=6093 B=5464 C=7398 X=204007806 Y=2799171831 Z=98801687531 M=6617
A=2686 B=6757 C=7624 X=489498847 Y=5400464585 Z=11765461752 M=2328
A=6445 B=7171 C=7727 X=570690716 Y=1038244969 Z=58509240150 M=3281
A=8797 B=6538 C=5130 X=270189163 Y=7507311780 Z=29633733011 M=5464
A=6558 B=8486 C=9250 X=907768607 Y=6678995859 Z=43284683600 M=4183
A=6036 B=9953 C=7418 X=528763452 Y=7040588756 Z=70353343191 M=6865
A=7261 B=5044 C=9960 X=746373499 Y=4822844105 Z=60496815469 M=4109
A=4352 B=5758 C=6526 X=286995229 Y=1513056483 Z=51700284521 M=5488
A=8939 B=3634 C=6029 X=249516070 Y=1187669113 Z=69983987447 M=4305
A=9838 B=6188 C=7848 X=376667310 Y=7059905685 Z=42006138889 M=6050
A=7742 B=8525 C=9682 X=270247569 Y=6384490493 Z=83847905323 M=9259
A=7738 B=5235 C=6097 X=260383780 Y=7479610080 Z=34320853794 M=6793
A=3056 B=6027 C=8957 X=527346778 Y=6105990580 Z=44671190374 M=6928
A=7634 B=5797 C=5519 X=790896227 Y=6632282215 Z=71481431477 M=9173
A=7396 B=4861 C=5035 X=673634353 Y=9264359167 Z=55825107706 M=4553
A=3803 B=9368 C=6089 X=951023058 Y=8320783280 Z=81566308454 M=4779
A=7495 B=7397 C=8209 X=421631963 Y=3647735969 Z=35276914879 M=6581
A=9100 B=6730 C=7742 X=826237907 Y=9449853521 Z=26486037789 M=1014
A=7445 B=9560 C=5121 X=267036622 Y=7580346913 Z=21429634866 M=5209
A=7322 B=4193 C=9476 X=848102044 Y=1461862865 Z=90380198349 M=4486
