A=8361 B=4968 C=6228 X=907225472 Y=3281122759 Z=10963273125 M=126
A=9563 B=8681 C=9670 X=382527360 Y=2091670765 Z=37080918953 M=141
A=8534 B=7033 C=6113 X=432700304 Y=2417664384 Z=50582790067 M=93
A=6843 B=4666 C=8510 X=600372704 Y=5895702178 Z=37617922176 M=57
A=4929 B=9303 C=6185 X=896579736 Y=6898111600 Z=37389100359 M=65
A=6304 B=3031 C=7727 X=361322131 Y=2106788373 Z=33236613605 M=95
A=2302 B=8261 C=7271 X=934083934 Y=8710769464 Z=90368374335 M=182
A=7611 B=8520 C=6984 X=639255227 Y=3155368518 Z=88593053426 M=106
A=5177 B=8721 C=9383 X=120789980 Y=5194038798 Z=30758642086 M=98
A=6025 B=7166 C=9930 X=711255589 Y=6825508110 Z=60947863579 M=179
A=6168 B=9670 C=8049 X=383225274 Y=9416656820 Z=75566412726 M=77
A=5612 B=3123 C=6072 X=119573449 Y=8430579865 Z=42006107890 M=147
A=3177 B=6825 C=8072 X=534672715 Y=8716335537 Z=50110021601 M=178
A=4607 B=5053 C=7718 X=715429932 Y=2967811888 Z=93012815271 M=179
A=2534 B=8519 C=6052 X=723647505 Y=8804474259 Z=71879592515 M=145
A=9206 B=3794 C=5807 X=597478914 Y=4403667833 Z=96224577314 M=135
A=6516 B=8519 C=9806 X=982626904 Y=4716828470 Z=61599377745 M=72
A=6692 B=4608 C=8699 X=174396113 Y=2675081696 Z=24433256725 M=166
A=5668 B=5474 C=9182 X=321252316 Y=6192620359 Z=27667081354 M=116
A=8258 B=7587 C=5721 X=671161694 Y=1567385527 Z=43725183446 M=110
A=9403 B=4827 C=7207 X=666743858 Y=2187519379 Z=33492317556 M=199
A=5573 B=7786 C=5134 X=109781455 Y=7584233979 Z=88863159866 M=92
A=5142 B=3487 C=6723 X=122737187 Y=8522696439 Z=90956906095 M=119
A=5755 B=7478 C=6409 X=865972965 Y=6093478375 Z=98516597833 M=190
A=4132 B=6963 C=6450 X=288693601 Y=3192684328 Z=28948326457 M=146
A=7709 B=9318 C=7722 X=536628773 Y=8688216315 Z=42611184552 M=185
A=3932 B=4967 C=6660 X=626302492 Y=3758017094 Z=32531723104 M=172
A=9834 B=5367 C=5319 X=881137359 Y=9282090078 Z=99493860141 M=115
A=4698 B=4177 C=8134 X=566615611 Y=4439431913 Z=63866553917 M=168
A=9866 B=7685 C=7478 X=435157385 Y=8552986689 Z=36995202247 M=181
A=3119 B=8596 C=5200 X=355292767 Y=2141041625 Z=97017774802 M=194
A=9550 B=8470 C=5485 X=209752931 Y=9618178669 Z=60280740720 M=113
A=9611 B=7173 C=5891 X=160076436 Y=9776523967 Z=59028768485 M=75
A=8537 B=3200 C=5079 X=889774366 Y=6426666736 Z=31418248999 M=51
A=8185 B=6144 C=9064 X=663785398 Y=3609194855 Z=32704839845 M=67
A=7405 B=7825 C=5806 X=338911255 Y=1292864607 Z=20369745145 M=141
A=8894 B=4086 C=8396 X=680222280 Y=8754763790 Z=24956479755 M=103
A=9496 B=3405 C=9501 X=925455016 Y=1048922571 Z=82892088246 M=120
A=9123 B=8184 C=9405 X=756224400 Y=9437094248 Z=24100095632 M=66
A=6340 B=6487 C=6161 X=815698198 Y=6059808466 Z=41280428383 M=79
A=5363 B=6152 C=7916 X=857742288 Y=5325490380 Z=94470728038 M=116
A=9299 B=8107 C=8604 X=890457817 Y=5967709617 Z=10940720632 M=127
A=9589 B=9002 C=8372 X=126122004 Y=1165827213 Z=75664760082 M=119
A=2855 B=7936 C=6810 X=746056673 Y=6975721658 Z=49774657459 M=58
A=3286 B=3662 C=6279 X=515391360 Y=2444225539 Z=37528731210 M=170
A=4921 B=8023 C=9090 X=124955428 Y=3608866179 Z=14339926158 M=191
A=2287 B=9419 C=6487 X=979768774 Y=4090185434 Z=34097134839 M=129
A=6063 B=9964 C=5497 X=939060572 Y=6819901041 Z=64955502382 M=175
A=2854 B=6950 C=7884 X=384827282 Y=6241863321 Z=24592065935 M=76
A=6488 B=3052 C=8394 X=951454837 Y=9849435914 Z=77382214028 M=91
A=3872 B=8645 C=5663 X=609677525 Y=3288934441 Z=65880879233 M=94
A=4656 B=5516 C=8358 X=184902706 Y=5106491755 Z=93502352488 M=73
A=9928 B=7785 C=7709 X=471255921 Y=7659545681 Z=57968692610 M=51
A=6762 B=7914 C=7083 X=197603119 Y=2651023009 Z=47402020041 M=169
A=3897 B=5514 C=7227 X=127217118 Y=5019732310 Z=30630459906 M=144
A=5906 B=6472 C=7683 X=472354836 Y=1113953944 Z=65864572090 M=196
A=5009 B=3173 C=9232 X=965657145 Y=7744105894 Z=23452762850 M=127
A=3323 B=5759 C=5538 X=546858564 Y=3155492806 Z=33842102424 M=160
A=7912 B=7875 C=5815 X=672765122 Y=6740770614 Z=97362845350 M=183
A=2289 B=8938 C=9939 X=914789629 Y=1107895109 Z=99974753948 M=182
A=4250 B=4534 C=7532 X=852289113 Y=5000327920 Z=39035107896 M=179
A=9161 B=6384 C=9602 X=474479206 Y=1594312440 Z=54743427196 M=145
A=6964 B=5806 C=7217 X=285430194 Y=4415676921 Z=36684882357 M=153
A=8895 B=9660 C=9473 X=335653970 Y=1060972999 Z=74737543511 M=110
A=5212 B=4578 C=9533 X=200513751 Y=9207035900 Z=44820944473 M=157
A=7650 B=3927 C=7298 X=973790537 Y=2454353655 Z=77348577714 M=73
A=7106 B=6717 C=6411 X=621862197 Y=5255323919 Z=68013539694 M=193
A=5943 B=3237 C=8210 X=168261726 Y=2717291551 Z=50956527004 M=198
A=5770 B=8349 C=9895 X=613443766 Y=3608549804 Z=85500048423 M=105
A=4470 B=5165 C=8626 X=499187544 Y=4967992305 Z=81057537466 M=103
A=4119 B=3740 C=7387 X=370215690 Y=4429193127 Z=57232842466 M=167
